2011-09-07 18:25 Debugger (debug.cc, 18) started.
2011-09-07 18:25 random time seed = 1315416339
2011-09-07 18:25 map_t::map_t(32, 32) exited.
2011-09-07 18:25 map_tt::create_nowrap() entered.
2011-09-07 18:25 Test Hex(30G) added Green Den
2011-09-07 18:25 Test Hex(29G) added Fertile 0
2011-09-07 18:25 Test Hex(30H) added Fertile 0
2011-09-07 18:25 Test Hex(30G) added 29 Green
2011-09-07 18:25 Test Hex(6A) added Green Den
2011-09-07 18:25 Test Hex(5A) added Fertile 0
2011-09-07 18:25 Test Hex(6A) added 14 Green
2011-09-07 18:25 Test Hex(13Z) added Yellow Den
2011-09-07 18:25 Test Hex(13AA) added Fertile 0
2011-09-07 18:25 Test Hex(14Z) added Fertile 0
2011-09-07 18:25 Test Hex(13Y) added Fertile 0
2011-09-07 18:25 Test Hex(13Z) added 44 Yellow
2011-09-07 18:25 Test Hex(29AA) added Grey Den
2011-09-07 18:25 Test Hex(30AA) added Fertile 0
2011-09-07 18:25 Test Hex(29Z) added Fertile 0
2011-09-07 18:25 Test Hex(29AA) added 29 Grey
2011-09-07 18:25 Test Hex(21Y) added Red Den
2011-09-07 18:25 Test Hex(21Z) added Fertile 0
2011-09-07 18:25 Test Hex(22Z) added Fertile 0
2011-09-07 18:25 Test Hex(22Y) added Fertile 0
2011-09-07 18:25 Test Hex(21Y) added 44 Red
2011-09-07 18:25 Test Hex(18O) added Red Den
2011-09-07 18:25 Test Hex(17O) added Fertile 0
2011-09-07 18:25 Test Hex(18N) added Fertile 0
2011-09-07 18:25 Test Hex(18O) added 29 Red
2011-09-07 18:25 Test Hex(27V) added Black Den
2011-09-07 18:25 Test Hex(26V) added Fertile 0
2011-09-07 18:25 Test Hex(26U) added Fertile 0
2011-09-07 18:25 Test Hex(27V) added 29 Black
2011-09-07 18:25 Test Hex(25AD) added Green Den
2011-09-07 18:25 Test Hex(25AE) added Fertile 0
2011-09-07 18:25 Test Hex(25AC) added Fertile 0
2011-09-07 18:25 Test Hex(25AD) added 29 Green
2011-09-07 18:25 Test Hex(8I) added Yellow Den
2011-09-07 18:25 Test Hex(9I) added Fertile 0
2011-09-07 18:25 Test Hex(8I) added 14 Yellow
2011-09-07 18:25 Test Hex(30K) added Green Den
2011-09-07 18:25 Test Hex(31J) added Fertile 0
2011-09-07 18:25 Test Hex(30K) added 14 Green
2011-09-07 18:25 Test Hex(24Q) added Red Den
2011-09-07 18:25 Test Hex(25R) added Fertile 0
2011-09-07 18:25 Test Hex(25Q) added Fertile 0
2011-09-07 18:25 Test Hex(24Q) added 29 Red
2011-09-07 18:25 Test Hex(3X) added Red Den
2011-09-07 18:25 Test Hex(2W) added Fertile 0
2011-09-07 18:25 Test Hex(3X) added 14 Red
2011-09-07 18:25 Test Hex(18V) added Green Den
2011-09-07 18:25 Test Hex(17V) added Fertile 0
2011-09-07 18:25 Test Hex(18W) added Fertile 0
2011-09-07 18:25 Test Hex(18V) added 29 Green
2011-09-07 18:25 Test Hex(29AC) added Green Den
2011-09-07 18:25 Test Hex(30AD) added Fertile 0
2011-09-07 18:25 Test Hex(30AC) added Fertile 0
2011-09-07 18:25 Test Hex(29AC) added 29 Green
2011-09-07 18:25 Test Hex(5J) added Black Den
2011-09-07 18:25 Test Hex(5K) added Fertile 0
2011-09-07 18:25 Test Hex(5J) added 14 Black
2011-09-07 18:25 Test Hex(25AA) added Green Den
2011-09-07 18:25 Test Hex(26AA) added Fertile 0
2011-09-07 18:25 Test Hex(26Z) added Fertile 0
2011-09-07 18:25 Test Hex(25AA) added 29 Green
2011-09-07 18:25 Test Hex(9AA) added Black Den
2011-09-07 18:25 Test Hex(10Z) added Fertile 0
2011-09-07 18:25 Test Hex(9Z) added Fertile 0
2011-09-07 18:25 Test Hex(9AA) added 29 Black
2011-09-07 18:25 Test Hex(28C) added Red Den
2011-09-07 18:25 Test Hex(29C) added Fertile 0
2011-09-07 18:25 Test Hex(29B) added Fertile 0
2011-09-07 18:25 Test Hex(28C) added 29 Red
2011-09-07 18:25 Test Hex(15N) added Black Den
2011-09-07 18:25 Test Hex(14N) added Fertile 0
2011-09-07 18:25 Test Hex(14M) added Fertile 0
2011-09-07 18:25 Test Hex(15N) added 29 Black
2011-09-07 18:25 Test Hex(16S) added Black Den
2011-09-07 18:25 Test Hex(17S) added Fertile 0
2011-09-07 18:25 Test Hex(16S) added 14 Black
2011-09-07 18:25 Test Hex(25J) added Black Den
2011-09-07 18:25 Test Hex(25K) added Fertile 0
2011-09-07 18:25 Test Hex(25I) added Fertile 0
2011-09-07 18:25 Test Hex(25J) added 29 Black
2011-09-07 18:25 Test Hex(17Y) added Red Den
2011-09-07 18:25 Test Hex(18Y) added Fertile 0
2011-09-07 18:25 Test Hex(17Y) added 14 Red
2011-09-07 18:25 Test Hex(21C) added Grey Den
2011-09-07 18:25 Test Hex(22D) added Fertile 0
2011-09-07 18:25 Test Hex(22C) added Fertile 0
2011-09-07 18:25 Test Hex(21B) added Fertile 0
2011-09-07 18:25 Test Hex(21C) added 44 Grey
2011-09-07 18:25 Test Hex(30K) found Green Den
2011-09-07 18:25 Test Hex(26C) added Grey Den
2011-09-07 18:25 Test Hex(27D) added Fertile 0
2011-09-07 18:25 Test Hex(27B) added Fertile 0
2011-09-07 18:25 Test Hex(26C) added 29 Grey
2011-09-07 18:25 Test Hex(18V) found Green Den
2011-09-07 18:25 Test Hex(9I) found Fertile 0
2011-09-07 18:25 Test Hex(25AD) found Green Den
2011-09-07 18:25 Test Hex(12P) added Black Den
2011-09-07 18:25 Test Hex(11O) added Fertile 0
2011-09-07 18:25 Test Hex(12P) added 14 Black
2011-09-07 18:25 Test Hex(26V) found Fertile 0
2011-09-07 18:25 Test Hex(21C) found Grey Den
2011-09-07 18:25 Test Hex(14AE) added Black Den
2011-09-07 18:25 Test Hex(13AE) added Fertile 0
2011-09-07 18:25 Test Hex(15AD) added Fertile 0
2011-09-07 18:25 Test Hex(14AD) added Fertile 0
2011-09-07 18:25 Test Hex(14AE) added 44 Black
2011-09-07 18:25 Test Hex(13B) added Black Den
2011-09-07 18:25 Test Hex(13C) added Fertile 0
2011-09-07 18:25 Test Hex(13A) added Fertile 0
2011-09-07 18:25 Test Hex(13B) added 29 Black
2011-09-07 18:25 Test Hex(13S) added Grey Den
2011-09-07 18:25 Test Hex(14T) added Fertile 0
2011-09-07 18:25 Test Hex(14S) added Fertile 0
2011-09-07 18:25 Test Hex(13S) added 29 Grey
2011-09-07 18:25 Test Hex(16Q) added Black Den
2011-09-07 18:25 Test Hex(17R) added Fertile 0
2011-09-07 18:25 Test Hex(17Q) added Fertile 0
2011-09-07 18:25 Test Hex(16P) added Fertile 0
2011-09-07 18:25 Test Hex(16Q) added 44 Black
2011-09-07 18:25 Test Hex(12E) added Green Den
2011-09-07 18:25 Test Hex(13F) added Fertile 0
2011-09-07 18:25 Test Hex(13D) added Fertile 0
2011-09-07 18:25 Test Hex(12E) added 29 Green
2011-09-07 18:25 Test Hex(30AD) found Fertile 0
2011-09-07 18:25 Test Hex(10T) added Yellow Den
2011-09-07 18:25 Test Hex(10U) added Fertile 0
2011-09-07 18:25 Test Hex(10S) added Fertile 0
2011-09-07 18:25 Test Hex(10T) added 29 Yellow
2011-09-07 18:25 Test Hex(23R) added Grey Den
2011-09-07 18:25 Test Hex(22R) added Fertile 0
2011-09-07 18:25 Test Hex(22S) added Fertile 0
2011-09-07 18:25 Test Hex(22Q) added Fertile 0
2011-09-07 18:25 Test Hex(23R) added 44 Grey
2011-09-07 18:25 Test Hex(10Z) found Fertile 0
2011-09-07 18:25 Test Hex(27B) found Fertile 0
2011-09-07 18:25 Test Hex(23V) added Yellow Den
2011-09-07 18:25 Test Hex(22W) added Fertile 0
2011-09-07 18:25 Test Hex(23V) added 14 Yellow
2011-09-07 18:25 Test Hex(25AD) found Green Den
2011-09-07 18:25 Test Hex(22R) found Fertile 0
2011-09-07 18:25 Test Hex(4N) added Black Den
2011-09-07 18:25 Test Hex(5N) added Fertile 0
2011-09-07 18:25 Test Hex(4N) added 14 Black
2011-09-07 18:25 Test Hex(26C) found Grey Den
2011-09-07 18:25 Test Hex(29G) found Fertile 0
2011-09-07 18:25 Test Hex(1X) added Grey Den
2011-09-07 18:25 Test Hex(1Y) added Fertile 0
2011-09-07 18:25 Test Hex(1X) added 14 Grey
2011-09-07 18:25 Test Hex(22D) found Fertile 0
2011-09-07 18:25 Test Hex(13D) found Fertile 0
2011-09-07 18:25 Test Hex(13C) found Fertile 0
2011-09-07 18:25 Test Hex(7O) added Green Den
2011-09-07 18:25 Test Hex(6O) added Fertile 0
2011-09-07 18:25 Test Hex(7N) added Fertile 0
2011-09-07 18:25 Test Hex(7O) added 29 Green
2011-09-07 18:25 Test Hex(3AD) added Green Den
2011-09-07 18:25 Test Hex(2AD) added Fertile 0
2011-09-07 18:25 Test Hex(2AE) added Fertile 0
2011-09-07 18:25 Test Hex(2AC) added Fertile 0
2011-09-07 18:25 Test Hex(3AD) added 44 Green
2011-09-07 18:25 Test Hex(18N) found Fertile 0
2011-09-07 18:25 Test Hex(1X) found Grey Den
2011-09-07 18:25 Test Hex(6F) added Black Den
2011-09-07 18:25 Test Hex(5F) added Fertile 0
2011-09-07 18:25 Test Hex(7F) added Fertile 0
2011-09-07 18:25 Test Hex(5E) added Fertile 0
2011-09-07 18:25 Test Hex(6F) added 44 Black
2011-09-07 18:25 Test Hex(30V) added Grey Den
2011-09-07 18:25 Test Hex(29W) added Fertile 0
2011-09-07 18:25 Test Hex(30V) added 14 Grey
2011-09-07 18:25 Test Hex(5E) found Fertile 0
2011-09-07 18:25 Test Hex(7F) found Fertile 0
2011-09-07 18:25 Test Hex(3Q) added Grey Den
2011-09-07 18:25 Test Hex(2Q) added Fertile 0
2011-09-07 18:25 Test Hex(3Q) added 14 Grey
2011-09-07 18:25 Test Hex(29B) found Fertile 0
2011-09-07 18:25 Test Hex(29C) found Fertile 0
2011-09-07 18:25 Test Hex(5Q) added Red Den
2011-09-07 18:25 Test Hex(5R) added Fertile 0
2011-09-07 18:25 Test Hex(6Q) added Fertile 0
2011-09-07 18:25 Test Hex(6P) added Fertile 0
2011-09-07 18:25 Test Hex(5Q) added 44 Red
2011-09-07 18:25 Test Hex(5W) added Yellow Den
2011-09-07 18:25 Test Hex(6W) added Fertile 0
2011-09-07 18:25 Test Hex(5W) added 14 Yellow
2011-09-07 18:25 Test Hex(19E) added Black Den
2011-09-07 18:25 Test Hex(19F) added Fertile 0
2011-09-07 18:25 Test Hex(20F) added Fertile 0
2011-09-07 18:25 Test Hex(19E) added 29 Black
2011-09-07 18:25 Test Hex(10K) added Black Den
